sample_id	Pb_2hr.dat	Pb_4hr.dat	Pb_6hr.dat	Pb_8hr.dat	Pb_10hr.dat	Pb_12hr.dat	Pb_14hr.dat	Pb_16hr.dat	Pb_18hr.dat	Pb_20hr.dat	Pb_22hr.dat	Pb_24hr.dat
PBANKA_1415500	0.365565259	-0.188258507	-0.240264343	0.201369048	0.38117979	0.033813672	0.195269661	0.329262237	0.112109123	-0.475015209	-0.93010344	-0.231116685
PBANKA_1244600	0.017213263	0.827836854	0.430045988	0.044612135	0.147760631	0.049382101	0.136784744	-0.070070426	-0.350986871	-0.291623502	-0.499124722	-0.053126504
PBANKA_1338300	0.336908028	0.424688043	0.24615138	0.369514076	0.049833653	0.260326333	-0.157841645	-0.467334795	-0.862466338	-1.248178345	-1.269231804	-0.287767846
PBANKA_1013100	0.596358367	0.284951808	0.665225452	0.724211857	0.505716109	0.1680858	-0.262916038	-0.878789125	-1.131844867	-1.80579257	-1.50209994	-1.175949416
PBANKA_0617200	0.230729445	0.37616638	0.356330264	0.300352551	0.15599266	0.083815356	-0.385265468	-0.780694366	-1.085572978	-1.713238115	-1.073513138	-0.370912153
PBANKA_0909200	0.277541199	-0.713442016	0.156893504	0.02536891	0.31524064	-0.179007616	0.204730541	0.361819817	-0.13178713	-0.263110226	-0.402204766	-0.363016946
PBANKA_1106100	-0.310668768	-0.041561444	0.647534487	0.625424016	0.342531945	0.745177121	-0.107327245	0.763636307	0.1481833	-0.151164243	-0.420942882	-0.462304666
PBANKA_1349600	0.11153362	0.52227378	0.034247595	-0.037459095	0.197274614	0.191151646	0.09420203	-0.171558534	-0.154407218	-0.384258067	-0.454653945	-0.605609783
PBANKA_1129100	0.274865807	-0.153431069	0.00538414	0.106332275	0.277271424	-0.024272157	-0.001476605	-0.373774176	-0.197271454	0.054590578	0.062755137	0.010945482
PBANKA_1146000	0.559804361	0.461894001	0.166843806	0.200784237	0.181530496	0.111478587	0.078010593	-0.327246083	-0.430226925	-0.527323936	-0.535698572	-0.010462801
PBANKA_0809300	-0.643757621	-0.220404715	0.08213112	0.135761746	0.107270371	0.287113689	0.248993579	0.284376212	-0.208327421	-0.149330478	-0.782070369	-0.923508229
PBANKA_0622200	0.407432563	-0.308971919	0.307453276	0.385418976	0.129030733	0.170772655	-0.382297898	-0.084893102	-0.335521019	-0.672548732	-0.579660108	-0.537793856
PBANKA_1435300	0.012826383	-0.114620398	-0.410104036	-0.418188633	-0.144182465	-0.211908422	-0.152726208	-0.003026703	0.08912338	0.067688364	-0.442804436	-0.342343735
PBANKA_0906400	0.322812978	0.540838488	0.130909225	0.118268491	-0.361869696	-0.075194756	0.215308045	-0.105604268	-0.315267369	-1.104846279	-0.633541637	0.714064696
PBANKA_1444200	0.194094635	1.045668631	0.020509287	0.216814088	-0.143166404	0.013842826	-0.247733052	-0.189389822	-0.105086653	0.006470494	-0.378682665	0.088726164
PBANKA_0520000	0.121034866	0.551516398	-0.052899409	0.495585864	-0.02044576	0.576788946	0.087102047	0.035209303	-0.37774631	-0.455158684	-0.619033764	-0.485491531
PBANKA_1029300	0.168130079	0.186804795	0.37774681	0.109514666	0.198280644	0.365595559	-0.411723718	0.163293702	-0.546075835	-0.673758504	-0.597827602	-0.837444838
PBANKA_0516200	-0.577636503	-0.385587199	-0.355473406	-0.236681075	0.207876653	0.036807422	0.270018592	0.037352783	-0.196399176	-0.34502769	-0.607678598	-0.916412218
PBANKA_1112300	-0.232481036	0.302618856	0.016470985	-0.05251813	-0.114371921	0.07493403	0.00236336	-0.152270511	-0.502734331	-0.654571282	-0.50653574	-0.740532259
PBANKA_1332100	1.151378083	-0.41634672	0.571502581	0.703909921	0.4728675	0.622773829	0.146743011	0.206701155	-0.006326569	-0.503280436	-0.870104893	-0.898232091
PBANKA_0916200	-0.102502132	0.42645842	0.423975235	0.198980606	0.510541084	0.100674241	-0.170453575	-0.774296161	-0.946581191	-1.147026094	-0.935548961	-0.984914324
PBANKA_0911800	0.326430065	0.696170278	0.415489132	-0.141605818	0.275521142	-0.22534408	-0.055340692	0.012222064	-0.588302531	-0.78189393	-0.280303124	-1.158504932
PBANKA_1101600	-1.382574835	-0.312287969	-1.01045818	-1.146122549	-0.456429555	0.022623571	-0.506873461	-0.552956099	-0.853459888	0.353108101	-0.426890789	-0.646602366
PBANKA_1364200	0.364170622	0.494207033	0.537476304	0.342450347	0.236496168	-0.083036771	-0.464125984	-0.693016584	-0.740523598	-0.997190327	-0.50237494	-0.172862769
PBANKA_1135700	0.037588171	0.562032186	-0.029474437	0.162080383	-0.050005425	-0.196534754	-0.245854516	-0.511641136	-0.215942285	-0.133392167	0.837546426	1.271197981
PBANKA_0313800	-0.547995266	-0.495259278	-0.261048338	0.244092478	0.377649056	0.536182604	0.296554019	0.144743094	-0.23507608	-0.558978661	-0.798967808	-1.011110161
PBANKA_1028400	0.266141713	-0.059288727	0.387696866	0.517972883	0.356147251	0.367011743	-0.252287617	-0.538516026	-1.241997089	-1.759559031	-1.490338605	-1.248724826
PBANKA_1200800	-0.167540136	-0.207374884	0.091664753	-0.047363217	0.082725653	-0.075072878	-0.234677435	-0.413559876	-0.325087084	-0.25064623	0.196665886	0.753822178
