"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_0922500",0,0,172,0,0,0,0,39,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"PF3D7_0922600",0,0,60,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0922700",4,0,0,6,0,14,64,184,26,0,0,47,17,20,15,0,0,10,9,0,45,191
"PF3D7_0922800",5,3,106,18,0,16,3,222,0,25,2,0,0,38,354,273,2,12,59,12,0,283
"PF3D7_0922900",0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"PF3D7_0923000",0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0923100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0923200",15,0,0,0,0,0,0,0,25,0,0,0,0,43,0,0,0,0,0,0,8,0
"PF3D7_0923300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0923400",41,0,0,0,22,19,0,30,3,45,0,0,28,16,93,0,134,1,0,3,19,4
"PF3D7_0923500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PF3D7_0923600",8,0,0,0,0,0,85,46,0,0,0,0,0,0,0,154,0,0,0,21,0,0
"PF3D7_0923700",0,3,0,0,0,0,436,89,0,0,0,0,57,0,0,0,122,9,322,0,8,0
"PF3D7_0923800.1",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"PF3D7_0923800.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0923900",40,10,0,1,0,4,0,0,4,0,0,0,81,0,0,229,1,18,0,0,44,23
"PF3D7_0924000",10,205,0,77,0,44,246,299,22,13,0,0,0,103,98,4,0,28,0,2,132,6
"PF3D7_0924100",2,0,0,14,0,0,0,0,52,9,0,0,2,13,0,0,0,0,0,7,9,0
"PF3D7_0924200",0,0,0,0,0,3,0,0,0,4,0,0,0,16,0,0,0,0,0,0,30,0
"PF3D7_0924300",2,0,0,0,0,29,0,0,61,156,1200,208,0,247,0,0,135,28,0,9,272,0
"PF3D7_0924400",0,0,0,7,0,38,48,21,20,29,44,148,39,92,503,378,16,6,1035,0,28,106
"PF3D7_0924500",0,0,6,22,0,8,0,0,148,22,1,0,34,11,0,0,0,0,0,1,0,1
"PF3D7_0924600",267,0,0,448,1,683,0,0,862,758,4520,60,1028,1644,12,0,1004,470,7,288,1249,14
"PF3D7_0924700",0,0,0,0,6,0,0,0,6,16,0,0,0,0,0,0,0,7,0,0,0,0
"PF3D7_0924800",42,0,0,155,0,179,0,0,200,200,0,0,306,556,0,0,227,141,0,99,153,0
"PF3D7_0924900",0,2,0,0,0,3,4,24,0,2,427,41,8,2,24,20,0,0,21,45,8,4
"PF3D7_0925000",6,375,0,47,1,0,319,478,52,3,103,0,0,13,204,618,0,0,194,2,14,0
"PF3D7_0925100",151,0,0,396,0,47,0,0,242,752,0,0,161,443,0,0,200,215,0,19,239,0
"PF3D7_0925200",1,19,29,17,65,7,0,32,0,0,0,71,0,0,410,376,8,3,322,0,1,59
"PF3D7_0925300",0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0925400",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"PF3D7_0925500",0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0925600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"PF3D7_0925700",0,172,198,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0925800",1,29,93,2,0,41,528,9,31,0,0,63,14,3,383,316,7,6,1122,0,109,0
"PF3D7_0925900",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"PF3D7_0926000",2,0,1,0,0,0,14,360,17,0,0,56,8,70,1123,6,9,5,81,1,0,0
"PF3D7_0926100",11,13,249,0,0,1,236,0,49,82,0,956,17,163,98,792,37,36,640,0,79,63
"PF3D7_0926200",1,2,0,28,0,10,0,0,0,34,213,0,14,20,0,0,4,11,0,0,11,0
"PF3D7_0926300",32,31,0,37,0,42,792,2,149,86,0,450,110,106,1878,193,11,14,29,1,85,20
"PF3D7_0926400",665,0,0,1563,0,759,0,0,570,1052,0,0,789,1430,0,0,240,389,0,53,1184,1
"PF3D7_0926500",9,12,0,74,0,35,7,0,0,0,0,78,57,2,635,0,2,0,2,0,9,180
"PF3D7_0926600",0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0
"PF3D7_0926700",0,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0
"PF3D7_0926800",19,168,0,12,0,8,31,395,62,19,345,429,54,25,619,89,81,37,14,40,73,295
"PF3D7_0926900",0,0,0,0,0,3,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0
"PF3D7_0927000",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
"PF3D7_0927100",0,14,0,0,0,0,0,0,0,63,0,378,9,67,0,0,117,46,0,0,56,0
"PF3D7_0927200",0,35,0,57,0,20,0,56,74,18,0,215,1,38,92,3,21,18,130,0,45,0
"PF3D7_0927300",0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
"PF3D7_0927400",0,28,0,0,0,5,184,64,0,2,0,718,15,0,982,0,63,0,213,0,0,782
"PF3D7_0927500",0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,3,0,0,0,0
"PF3D7_0927600",27,0,0,128,0,92,0,0,167,114,7,0,314,271,3,0,44,102,0,99,251,0
"PF3D7_0927700",14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"PF3D7_0927800",0,0,0,0,0,2,0,0,31,14,623,43,0,0,0,0,0,0,0,0,0,0
"PF3D7_0927900",0,0,0,0,0,0,4,0,0,42,0,0,0,0,0,25,0,0,0,0,0,0
"PF3D7_0928000.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0928000.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0928100",19,571,0,0,0,21,1010,2369,0,103,0,872,60,290,6135,1048,4,0,5247,19,33,1141
"PF3D7_0928200",0,0,0,1,0,13,0,0,1,0,0,88,0,0,0,112,0,0,51,0,38,0
"PF3D7_0928300",0,0,0,0,0,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"PF3D7_0928400",0,0,0,0,0,0,0,0,15,18,0,0,58,0,0,0,0,36,0,0,114,0
"PF3D7_0928500",0,0,0,0,25,3,0,0,22,20,0,0,20,61,0,0,0,0,0,0,15,0
"PF3D7_0928600",0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0928700",2,0,0,0,0,3,0,0,2,14,0,0,0,0,0,20,0,0,0,0,0,0
"PF3D7_0928800",9,0,0,0,0,5,185,0,31,10,0,124,0,25,0,0,0,0,0,0,8,18
"PF3D7_0928900",0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0929000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0929100",0,0,0,0,0,12,0,0,0,0,398,0,13,1,0,0,0,12,0,0,0,0
"PF3D7_0929200",52,0,0,0,0,7,0,165,0,28,0,30,0,0,0,60,0,0,11,17,0,18
"PF3D7_0929300",0,0,0,0,0,0,0,56,0,11,0,69,0,96,0,161,28,0,1,0,0,15
"PF3D7_0929400",50,0,0,1,0,5,0,0,44,37,0,0,0,1,0,0,1,0,2,1,0,0
"PF3D7_0929500",0,12,0,0,0,0,43,33,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"PF3D7_0929600",2,0,0,69,0,48,0,0,78,137,478,0,178,190,0,0,188,14,1,16,52,0
"PF3D7_0929700",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0929800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0929900",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,17,0
"PF3D7_0930000",167,0,0,205,0,94,0,0,413,587,1881,0,485,665,0,0,474,138,0,196,382,0
